countyFIPS,County Name,State,3/2/2021
20001,Allen County ,KS,1127
20003,Anderson County ,KS,813
20005,Atchison County ,KS,1531
20007,Barber County ,KS,365
20009,Barton County ,KS,2572
20011,Bourbon County ,KS,1280
20013,Brown County ,KS,1212
20015,Butler County ,KS,7205
20017,Chase County ,KS,243
20019,Chautauqua County ,KS,258
20021,Cherokee County ,KS,2359
20023,Cheyenne County ,KS,353
20025,Clark County ,KS,242
20027,Clay County ,KS,806
20029,Cloud County ,KS,967
20031,Coffey County ,KS,712
20033,Comanche County ,KS,158
20035,Cowley County ,KS,3805
20037,Crawford County ,KS,4514
20039,Decatur County ,KS,259
20041,Dickinson County ,KS,1685
20043,Doniphan County ,KS,942
20045,Douglas County ,KS,8533
20047,Edwards County ,KS,254
20049,Elk County ,KS,175
20051,Ellis County ,KS,3681
20053,Ellsworth County ,KS,1208
20055,Finney County ,KS,5961
20057,Ford County ,KS,5577
20059,Franklin County ,KS,2438
20061,Geary County ,KS,3025
20063,Gove County ,KS,376
20065,Graham County ,KS,249
20067,Grant County ,KS,964
20069,Gray County ,KS,600
20071,Greeley County ,KS,102
20073,Greenwood County ,KS,557
20075,Hamilton County ,KS,201
20077,Harper County ,KS,599
20079,Harvey County ,KS,3403
20081,Haskell County ,KS,407
20083,Hodgeman County ,KS,203
20085,Jackson County ,KS,1330
20087,Jefferson County ,KS,1618
20089,Jewell County ,KS,199
20091,Johnson County ,KS,54370
20093,Kearny County ,KS,560
20095,Kingman County ,KS,727
20097,Kiowa County ,KS,266
20099,Labette County ,KS,2608
20101,Lane County ,KS,124
20103,Leavenworth County ,KS,6783
20105,Lincoln County ,KS,254
20107,Linn County ,KS,749
20109,Logan County ,KS,292
20111,Lyon County ,KS,4099
20113,McPherson County ,KS,3108
20115,Marion County ,KS,1024
20117,Marshall County ,KS,1070
20119,Meade County ,KS,493
20121,Miami County ,KS,2637
20123,Mitchell County ,KS,565
20125,Montgomery County ,KS,3285
20127,Morris County ,KS,573
20129,Morton County ,KS,254
20131,Nemaha County ,KS,1474
20133,Neosho County ,KS,1740
20135,Ness County ,KS,364
20137,Norton County ,KS,1214
20139,Osage County ,KS,1189
20141,Osborne County ,KS,297
20143,Ottawa County ,KS,548
20145,Pawnee County ,KS,1133
20147,Phillips County ,KS,704
20149,Pottawatomie County ,KS,1755
20151,Pratt County ,KS,802
20153,Rawlins County ,KS,346
20155,Reno County ,KS,8299
20157,Republic County ,KS,676
20159,Rice County ,KS,1054
20161,Riley County ,KS,6148
20163,Rooks County ,KS,634
20165,Rush County ,KS,425
20167,Russell County ,KS,842
20169,Saline County ,KS,5963
20171,Scott County ,KS,569
20173,Sedgwick County ,KS,53679
20175,Seward County ,KS,3859
20177,Shawnee County ,KS,16362
20179,Sheridan County ,KS,426
20181,Sherman County ,KS,625
20183,Smith County ,KS,264
20185,Stafford County ,KS,335
20187,Stanton County ,KS,184
20189,Stevens County ,KS,546
20191,Sumner County ,KS,2070
20193,Thomas County ,KS,1094
20195,Trego County ,KS,400
20197,Wabaunsee County ,KS,662
20199,Wallace County ,KS,173
20201,Washington County ,KS,526
20203,Wichita County ,KS,215
20205,Wilson County ,KS,946
20207,Woodson County ,KS,204
20209,Wyandotte County ,KS,19219
